日期,單字,詞性,中文解釋,音標,已記住
2026-03-05,arrogance,n.,傲慢,/ˈæɹ.oʊ.ɡəns/,
2026-03-05,complacent,adj.,自滿的; 自鳴得意的；安於現狀的,/kəmˈpleɪsənt/,
2026-03-05,utensil,n.,器皿,/juˈtɛn.səl/,
2026-03-05,dinnerware,n.,餐具,/static/,
2026-03-05,silverware,n.,銀製品,/static/,
2026-03-05,ventilation,n.,通風；通風設備,IPA[ˌventɪˈleɪʃn],
2026-03-05,purifier,v.,淨化器,IPA[ˈpjʊərɪfaɪə(r)],
2026-03-05,dehumidify,v.,除去…的濕氣,/diːˌhjuːˈmɪdɪfaɪ/,
2026-03-06,even if,ph.,"即使,盡管,縱然",/static/,
2026-03-06,insulation,n.,隔熱; 隔音; 絕緣；隔熱材料; 隔音材料; 絕緣材料,/ˌɪnsjʊˈleɪʃən/,
2026-03-06,conscious,n.,IPA[ˈkɒnʃəs] adj. 神志清醒的；有意識的,/ˈkɒn.ʃəs/,
2026-03-06,irrigation,n.,灌溉；沖洗,/ˌɪɹəˈɡeɪʃən/,
2026-03-06,patron,n.,贊助人；名義贊助人,/ˈpeɪ.tɹən/,
2026-03-06,in spite of,ph.,"盡管…,不管…,不顧…",/static/,
2026-03-06,quote,n.,引用；援引 vi. 引用; 原話起（…原話止）；報價 n. 引文；聲明 npl. = quotation marks,/kwəʊt/,
2026-03-06,perspective,n.,透視法；觀點,/pɚˈspɛktɪv/,
2026-03-06,generous,adj.,慷慨的；豐厚的,/ˈdʒɛn(ə)ɹəs/,
2026-03-06,instead,adv.,作為替代 prep 而不是,/ɪnˈstɛd/,
2026-03-06,amenities,n.,npl. 便利設施 n. 宜人,/əˈmɛn.ə.tiːz/,
2026-03-06,rectify,v.,改正; 修復；把…變成直流電,/ˈɹɛktəˌfaɪ/,
2026-03-08,admission,n.,准許進入；入場費 npl. 錄取人數；住院人數,/ædˈmɪʃ.ən/,
2026-03-08,pan,n.,有柄平底鍋；秤盤 vt. 淘洗; 淘; 在…淘金；抨擊 vi. 淘金,/pæn/,
2026-03-08,glaze,n.,釉; 砑光; 軋光; 上光；釉料 vt. 給…裝玻璃; 給…罩上玻璃；給…上釉; 給…上軋光; 給…上砑光; 給…澆亮汁; 給…上光,/ɡleɪz/,
2026-03-08,melting,v.,溫柔的,/ˈmɛltɪŋ/,
2026-03-08,eligible,n.,有資格的；合意的,/ˈɛlɪdʒəb(ə)l/,
2026-03-08,illegible,adj.,無法辨認的,/ɪˈlɛd͡ʒəbəl/,
2026-03-08,former,adj.,以前的；前任的; 一度的 n. 前者；模具,/ˈfɔːmə/,
2026-03-08,intact,adj.,完好無損的; 未受損害的,/ɪnˈtækt/,
2026-03-08,petition,n.,請願書；祈求 vt. 請求,/pəˈtɪ.ʃən/,
2026-03-08,courthouse,n.,法院大樓；縣政府大樓,IPA[ˈkɔːthaʊs],
2026-03-08,desert,n.,拋棄; 遺棄; 離棄；背離 vi. 擅離,/dɪˈzɜːt/,
2026-03-08,district,n.,區域; 地區；區,/ˈdɪstɹɪkt/,
2026-03-08,prominent,adj.,重要的; 著名的；顯眼的; 顯著的,/ˈpɹɒmɪnənt/,
2026-03-08,vital,adj.,必不可少的; 決定性的; 必要的; 極其重要的；生氣勃勃的; 充滿生機的 npl. 重要器官；外生殖器,/ˈvaɪt̬əl/,
2026-03-08,conveyor,n.,IPA[kənˈveɪə(r)] n. 運輸商; 運輸工具,/kənˈveɪə/,
2026-03-08,reiterate,n.,重申,/ɹiˈɪt.əɹ.eɪt/,
2026-03-08,reaffirm,v.,重申,/ɹiːəˈfɜː(ɹ)m/,
2026-03-08,stain,n.,弄髒；給…染色 vi. 留下污漬；被弄髒 n. 污跡；染色劑,/steɪn/,
2026-03-08,steel,n.,鋼；磨刀鋼棒 vt. 堅定; 鼓足,/stiːl/,
2026-03-08,stove,n.,爐；窯,/stəʊv/,
2026-03-08,contest,n.,IPA[ˈkɒntest] n. 比賽；爭奪; 競爭 vt. 辯駁; 質疑；爭取贏得,/ˈkɒn.tɛst/,
2026-03-08,cooktop,n.,爐台,IPA[ˈkʊktɒp],
